Date,Close,Volume,Market Cap,Oil,Gold,ETH,Ripple,Bitcoin Cash,Litecoin,NEO,Cardano,Stellar,EOS,DASH,NEM,ETH Classic,Lisk
"Nov 19, 2015",326.15,45011100,4971880000,40.54,1073.1,0.955532,0.004222,0.004222,3.13,3.13,3.13,0.00193,0.00193,2.21,0.000111,0.000111,1
"Nov 20, 2015",322.02,53152900,4850170000,40.39,1085.15,0.92492,0.004227,0.004227,3.12,3.12,3.12,0.001895,0.001895,2.23,0.000113,0.000113,1
"Nov 21, 2015",326.93,28200500,4787340000,40.39,1085.15,0.97614,0.004245,0.004245,3.15,3.15,3.15,0.00191,0.00191,2.2,0.000103,0.000103,1
"Nov 22, 2015",324.54,23439400,4861340000,40.39,1085.15,0.968018,0.004267,0.004267,3.14,3.14,3.14,0.001972,0.001972,2.06,0.0001,0.0001,1
"Nov 23, 2015",323.05,27478900,4823700000,41.75,1068.35,0.946969,0.004288,0.004288,3.12,3.12,3.12,0.0019,0.0019,2.14,0.000106,0.000106,1
"Nov 24, 2015",320.05,29362600,4805160000,42.87,1073,0.900191,0.004242,0.004242,3.11,3.11,3.11,0.001867,0.001867,2.08,0.0001,0.0001,1
"Nov 25, 2015",328.21,41666900,4762230000,43.04,1072.2,0.863537,0.004318,0.004318,3.34,3.34,3.34,0.001908,0.001908,2.15,0.000108,0.000108,1
"Nov 26, 2015",352.68,106105000,4886330000,43.04,1070.5,0.884183,0.004291,0.004291,3.61,3.61,3.61,0.00192,0.00192,2.19,0.000111,0.000111,1
"Nov 27, 2015",358.04,55179100,5238500000,41.71,1064.65,0.867951,0.004276,0.004276,3.58,3.58,3.58,0.001766,0.001766,2.16,0.000093,0.000093,1
"Nov 28, 2015",357.38,36816600,5318300000,41.71,1064.65,0.915703,0.004238,0.004238,3.52,3.52,3.52,0.001741,0.001741,2.08,0.000107,0.000107,1
"Nov 29, 2015",371.29,40409300,5324610000,41.71,1064.65,0.878614,0.004299,0.004299,3.67,3.67,3.67,0.00174,0.00174,2.15,0.000104,0.000104,1
"Nov 30, 2015",377.32,71701600,5534000000,41.65,1055.65,0.873119,0.004201,0.004201,3.62,3.62,3.62,0.001732,0.001732,2.17,0.000106,0.000106,1
"Dec 01, 2015",362.49,60452200,5624580000,41.65,1055.65,0.8748,0.00409,0.00409,3.43,3.43,3.43,0.001739,0.001739,2.08,0.000116,0.000116,0.999993
"Dec 02, 2015",359.19,54160500,5394070000,41.65,1055.65,0.82121,0.004173,0.004173,3.34,3.34,3.34,0.001767,0.001767,2.18,0.000102,0.000102,1
"Dec 03, 2015",361.05,50714900,5358040000,41.65,1055.65,0.812143,0.004262,0.004262,3.38,3.38,3.38,0.001712,0.001712,2.34,0.000108,0.000108,1
"Dec 04, 2015",363.18,35784100,5388110000,41.65,1055.65,0.840041,0.004754,0.004754,3.36,3.36,3.36,0.00201,0.00201,2.34,0.000118,0.000118,1
"Dec 05, 2015",388.95,66282200,5426180000,41.65,1055.65,0.862438,0.005301,0.005301,3.52,3.52,3.52,0.001864,0.001864,2.32,0.000118,0.000118,1
"Dec 06, 2015",388.78,77762000,5813290000,41.65,1055.65,0.8355,0.005344,0.005344,3.47,3.47,3.47,0.00192,0.00192,2.34,0.000104,0.000104,1
"Dec 07, 2015",395.54,63455800,5821140000,41.65,1055.65,0.811264,0.00556,0.00556,3.65,3.65,3.65,0.001965,0.001965,2.33,0.000126,0.000126,1
"Dec 08, 2015",415.56,57801400,5908810000,41.65,1055.65,0.822118,0.006775,0.006775,3.69,3.69,3.69,0.002292,0.002292,2.4,0.000133,0.000133,1
"Dec 09, 2015",417.56,90917200,6189620000,41.65,1055.65,0.792167,0.008523,0.008523,3.67,3.67,3.67,0.002063,0.002063,2.51,0.000137,0.000137,1
"Dec 10, 2015",415.48,52138900,6244360000,36.76,1072,0.840396,0.008444,0.008444,3.66,3.66,3.66,0.002026,0.002026,2.44,0.000146,0.000146,1
"Dec 11, 2015",451.94,110944000,6206150000,35.62,1067.2,0.929762,0.008441,0.008441,3.84,3.84,3.84,0.002135,0.002135,2.69,0.000146,0.000146,1
"Dec 12, 2015",435,131969000,6761730000,35.62,1067.2,0.976973,0.008536,0.008536,3.61,3.61,3.61,0.001986,0.001986,2.58,0.000127,0.000127,1
"Dec 13, 2015",433.76,55050600,6454430000,35.62,1067.2,0.952884,0.008779,0.008779,3.63,3.63,3.63,0.002066,0.002066,2.73,0.000143,0.000143,1
"Dec 14, 2015",444.18,130496000,6480070000,36.31,1068,0.993022,0.007614,0.007614,3.61,3.61,3.61,0.002002,0.002002,2.69,0.000138,0.000138,1
